Rank,URL,Name,Industry,IncorporationYear,RevenueRsCrore,RevenueChange,NetOperatingIncomeRsCrore,NetOperatingIncomeChange,ProfitRsCrore,ProfitChange,AssetsRsCrore,AssetsChange,NetWorthRsCrore,NetWorthChange,EquityDividendRsCrore,EquityDividendChange,EmployeeCostRsCrore,EmployeeCostChange
1,https://www.fortuneindia.com/fortune-500/company/indian-oil-corporation?year=2017,Indian Oil Corporation,oil & gas,1959,374914.69,8.27,355310.11,2.68,19849.49,65.1,191501.09,12.13,102096.1,13.47,8531.08,0,10204.02,36.02
2,https://www.fortuneindia.com/fortune-500/company/reliance-industries?year=2017,Reliance Industries,oil & gas,1973,319935,12.76,305382,11.45,29901,0.52,495479,14.4,262839,13.92,0,0,8388,13.24
3,https://www.fortuneindia.com/fortune-500/company/state-bank-of-india?year=2017,State Bank of India,banking,1955,298640.45,9.21,230447.49,4.45,241.23,98.03,3256646.62,13.05,181598.27,1.33,2108.56,0,35691.21,9.73
4,https://www.fortuneindia.com/fortune-500/company/tata-motors?year=2017,Tata Motors,auto,1945,279029.14,1.52,269692.51,1.23,7454.36,35.62,174925.64,0.26,58061.89,26.46,0,0,28332.89,1.9
5,https://www.fortuneindia.com/fortune-500/company/rajesh-exports?year=2017,Rajesh Exports,gems & jewellery,1995,242179.13,46.58,242131.98,46.59,1243.63,16.34,11802.91,19.37,5635.24,28.33,0,0,156.9,38.9
6,https://www.fortuneindia.com/fortune-500/company/bharat-petroleum?year=2017,Bharat Petroleum,oil & gas,1952,210074.18,11.47,201250.66,7.15,9506.97,17.53,70145.34,28.36,30819.75,10.89,4837.58,0,3669.08,23.87
7,https://www.fortuneindia.com/fortune-500/company/hindustan-petroleum?year=2017,Hindustan Petroleum,oil & gas,1952,195558.78,8.72,187426.25,5.35,8235.82,76.18,54405.71,12.37,21071.43,26.45,0,0,2969.35,26.93
8,https://www.fortuneindia.com/fortune-500/company/oil-natural-gas-corp?year=2017,Oil & Natural Gas Corp,oil & gas,1993,136822.36,3.4,125784.61,1.38,20497.87,59.2,307074.78,14.5,221189.48,11.82,0,0,12146.62,31.6
9,https://www.fortuneindia.com/fortune-500/company/coal-india?year=2017,Coal India,metals & mining,1973,126214.69,12.22,119460.94,13.68,9265.98,35.05,76566.59,7.09,24526.78,29.59,12352.76,0,33514.29,11.24
10,https://www.fortuneindia.com/fortune-500/company/tata-consultancy-services?year=2017,Tata Consultancy Services,infotech,1995,122187,9.36,117966,8.58,26289,8.32,88039,20.79,86214,21.31,9162,0,61621,11.33
11,https://www.fortuneindia.com/fortune-500/company/tata-steel?year=2017,Tata Steel,iron & steel,1907,117481.24,17.03,112299.42,10.14,4240.8,0,131954.33,3.86,35544.32,14.26,0,0,17252.22,1.91
12,https://www.fortuneindia.com/fortune-500/company/icici-bank?year=2017,ICICI Bank,banking,1994,113397.63,11.84,60939.98,2.78,10188.38,0.08,925868.76,6.92,101566.88,11.25,1456,0,7893.26,14.19
13,https://www.fortuneindia.com/fortune-500/company/larsen-toubro?year=2017,Larsen & Toubro,capital goods,1946,110750.25,7.91,109311.81,8.1,5899.27,37.81,148646.45,9.33,50216.52,13.66,0,0,13853.07,3.92
14,https://www.fortuneindia.com/fortune-500/company/hindalco-industries?year=2017,Hindalco Industries,metals & mining,1958,104237.65,4.27,100183.78,0.14,1899.74,4139.54,112544.67,1.68,46058.8,19.9,0,0,8546.01,3.46
15,https://www.fortuneindia.com/fortune-500/company/bharti-airtel?year=2017,Bharti Airtel,telecommunication,1995,99662.8,3.4,95468.3,1.1,3799.8,37.47,186886.9,5.47,67456.3,1.03,654.3,0,4303.2,12.37
16,https://www.fortuneindia.com/fortune-500/company/hdfc-bank?year=2017,HDFC Bank,banking,1994,86148.98,15.83,73271.35,16.01,15253.03,19.15,833635.28,15.13,91793.95,23.54,3392.71,0,8504.7,34.86
17,https://www.fortuneindia.com/fortune-500/company/mahindra-mahindra?year=2017,Mahindra & Mahindra,auto,1945,85863.49,10.51,83773.05,10.46,3698.04,17.46,91794.88,14.02,25669.56,10.27,0,0,8910.63,15.88
18,https://www.fortuneindia.com/fortune-500/company/ntpc?year=2017,NTPC,power,1975,83819.17,12.12,82080.82,11.79,10719.64,0.75,218156.32,10.13,97838.02,6.84,2152.07,0,5675.81,20.91
19,https://www.fortuneindia.com/fortune-500/company/vedanta?year=2017,Vedanta,metals & mining,1965,78034.61,14.11,72225.03,12.39,5512.21,0,155584.54,0.29,60424.86,37.21,7091.81,0,2339.34,10.24
20,https://www.fortuneindia.com/fortune-500/company/infosys?year=2017,Infosys,infotech,1981,71534,9.11,68484,9.68,14353,6.41,69135,11.76,68982,11.72,5915,0,37659,9.45
21,https://www.fortuneindia.com/fortune-500/company/maruti-suzuki-india?year=2017,Maruti Suzuki India,auto,1981,70926.7,19.84,68085,18.23,7511,36.63,38701.5,22.15,37075.1,21.1,0,0,2360.3,18
22,https://www.fortuneindia.com/fortune-500/company/essar-oil?year=2017,Essar Oil,oil & gas,1989,65887.26,21.65,60869.05,15.73,1202.89,0,46212.53,10.16,19054.76,165.55,0,0,421.7,32.06
23,https://www.fortuneindia.com/fortune-500/company/hdfc?year=2017,HDFC,non-banking financial services,1977,61087.63,14.7,61034.35,14.68,11051.12,8.45,436968.03,18.66,60059.31,18.06,476.13,0,913.02,15.84
24,https://www.fortuneindia.com/fortune-500/company/wipro?year=2017,Wipro,infotech,1945,57854,7.02,55448.4,8.2,8493.1,4.66,67655.8,11.93,51670.2,11.97,873.4,0,26808.1,9.18
25,https://www.fortuneindia.com/fortune-500/company/axis-bank?year=2017,Axis Bank,banking,1993,57596.69,12.13,45175.09,9.09,3953.03,52.66,583879.09,11.06,56380.35,5.27,1403.99,0,4742.1,17.98
26,https://www.fortuneindia.com/fortune-500/company/jsw-steel?year=2017,JSW Steel,iron & steel,1994,57242.64,41.83,55604.59,33.84,3523.12,0,66374.23,7.2,22647.63,19.42,0,0,1699.59,11.91
27,https://www.fortuneindia.com/fortune-500/company/punjab-national-bank?year=2017,Punjab National Bank,banking,1895,57225.66,0.57,48058.08,5.4,1187.24,0,716932.36,3.22,39357.56,1.02,6.91,0,5482.33,16.49
28,https://www.fortuneindia.com/fortune-500/company/bank-of-baroda?year=2017,Bank of Baroda,banking,1908,52410.23,1.2,44473.45,2.89,1814.98,0,691798.97,4.31,43067.57,1.33,332.79,0,4888.66,6.01
29,https://www.fortuneindia.com/fortune-500/company/gail-india?year=2017,GAIL (India),oil & gas,1984,49748.08,5.05,48572.01,6.69,3368.16,80.19,47460.69,0.48,39304.89,7.97,1078.21,0,1286.65,30.27
30,https://www.fortuneindia.com/fortune-500/company/canara-bank?year=2017,Canara Bank,banking,1906,49486.11,0.37,41456.66,5.86,1358.28,0,570041.57,5.65,29312.25,8.7,0,0,4962.79,10.54
31,https://www.fortuneindia.com/fortune-500/company/hcl-technologies?year=2017,HCL Technologies,infotech,1991,48654.05,13.62,47567.53,14.58,8606.33,15.21,34633.84,15.97,32949.85,20.3,3386.11,0,22866.18,12.8
32,https://www.fortuneindia.com/fortune-500/company/bank-of-india?year=2017,Bank of India,banking,1906,46404.68,1.4,39585.23,5.96,1470.09,0,615553.77,2.55,27885.48,2,0,0,5449.06,0.84
33,https://www.fortuneindia.com/fortune-500/company/mrpl?year=2017,MRPL,oil & gas,1988,46119.33,15.9,43766.53,10.16,3472.64,321.59,25418.21,20.89,9502.23,57.48,0,0,390.29,20.9
